"PRG address","PRG/CPU bank","offset in PRG/CPU bank","CPU address","CDL byte repeat count","CDL byte","CDL byte description"
0,0,0,49152,13,2,"data"
13,0,13,49165,12275,0,"unaccessed"
12288,0,12288,61440,41,9,"code"
12329,0,12329,61481,1,11,"code, data"
12330,0,12330,61482,228,9,"code"
12558,0,12558,61710,1,11,"code, data"
12559,0,12559,61711,107,9,"code"
12666,0,12666,61818,1,11,"code, data"
12667,0,12667,61819,62,9,"code"
12729,0,12729,61881,1,11,"code, data"
12730,0,12730,61882,140,9,"code"
12870,0,12870,62022,2,0,"unaccessed"
12872,0,12872,62024,19,9,"code"
12891,0,12891,62043,1,11,"code, data"
12892,0,12892,62044,76,9,"code"
12968,0,12968,62120,1,11,"code, data"
12969,0,12969,62121,16,9,"code"
12985,0,12985,62137,1,11,"code, data"
12986,0,12986,62138,119,9,"code"
13105,0,13105,62257,1,11,"code, data"
13106,0,13106,62258,67,9,"code"
13173,0,13173,62325,1,0,"unaccessed"
13174,0,13174,62326,63,9,"code"
13237,0,13237,62389,1,11,"code, data"
13238,0,13238,62390,69,9,"code"
13307,0,13307,62459,36,10,"data"
13343,0,13343,62495,1,11,"code, data"
13344,0,13344,62496,160,9,"code"
13504,0,13504,62656,1,11,"code, data"
13505,0,13505,62657,108,9,"code"
13613,0,13613,62765,1,11,"code, data"
13614,0,13614,62766,47,9,"code"
13661,0,13661,62813,1,11,"code, data"
13662,0,13662,62814,7,9,"code"
13669,0,13669,62821,1,11,"code, data"
13670,0,13670,62822,73,9,"code"
13743,0,13743,62895,1,11,"code, data"
13744,0,13744,62896,240,9,"code"
13984,0,13984,63136,1,11,"code, data"
13985,0,13985,63137,53,9,"code"
14038,0,14038,63190,1,11,"code, data"
14039,0,14039,63191,36,9,"code"
14075,0,14075,63227,1,11,"code, data"
14076,0,14076,63228,3,9,"code"
14079,0,14079,63231,128,42,"data (indirectly accessed)"
14207,0,14207,63359,101,9,"code"
14308,0,14308,63460,1,11,"code, data"
14309,0,14309,63461,7,9,"code"
14316,0,14316,63468,1,11,"code, data"
14317,0,14317,63469,86,9,"code"
14403,0,14403,63555,20,10,"data"
14423,0,14423,63575,1,11,"code, data"
14424,0,14424,63576,13,9,"code"
14437,0,14437,63589,1,11,"code, data"
14438,0,14438,63590,21,9,"code"
14459,0,14459,63611,1,11,"code, data"
14460,0,14460,63612,41,9,"code"
14501,0,14501,63653,1,11,"code, data"
14502,0,14502,63654,49,9,"code"
14551,0,14551,63703,1,11,"code, data"
14552,0,14552,63704,49,9,"code"
14601,0,14601,63753,1,11,"code, data"
14602,0,14602,63754,81,9,"code"
14683,0,14683,63835,1,11,"code, data"
14684,0,14684,63836,22,9,"code"
14706,0,14706,63858,1,11,"code, data"
14707,0,14707,63859,5,9,"code"
14712,0,14712,63864,1,11,"code, data"
14713,0,14713,63865,148,9,"code"
14861,0,14861,64013,16,10,"data"
14877,0,14877,64029,1,0,"unaccessed"
14878,0,14878,64030,16,10,"data"
14894,0,14894,64046,1,0,"unaccessed"
14895,0,14895,64047,54,9,"code"
14949,0,14949,64101,1,11,"code, data"
14950,0,14950,64102,34,9,"code"
14984,0,14984,64136,32,10,"data"
15016,0,15016,64168,98,9,"code"
15114,0,15114,64266,1,11,"code, data"
15115,0,15115,64267,75,9,"code"
15190,0,15190,64342,1,11,"code, data"
15191,0,15191,64343,60,9,"code"
15251,0,15251,64403,1,11,"code, data"
15252,0,15252,64404,16,9,"code"
15268,0,15268,64420,1,11,"code, data"
15269,0,15269,64421,52,9,"code"
15321,0,15321,64473,1,11,"code, data"
15322,0,15322,64474,297,9,"code"
15619,0,15619,64771,8,10,"data"
15627,0,15627,64779,1,11,"code, data"
15628,0,15628,64780,33,9,"code"
15661,0,15661,64813,16,10,"data"
15677,0,15677,64829,140,9,"code"
15817,0,15817,64969,1,11,"code, data"
15818,0,15818,64970,54,9,"code"
15872,0,15872,65024,1,11,"code, data"
15873,0,15873,65025,70,9,"code"
15943,0,15943,65095,4,0,"unaccessed"
15947,0,15947,65099,37,9,"code"
15984,0,15984,65136,1,11,"code, data"
15985,0,15985,65137,13,9,"code"
15998,0,15998,65150,2,0,"unaccessed"
16000,0,16000,65152,9,9,"code"
16009,0,16009,65161,2,0,"unaccessed"
16011,0,16011,65163,20,9,"code"
16031,0,16031,65183,31,10,"data"
16062,0,16062,65214,2,0,"unaccessed"
16064,0,16064,65216,40,42,"data (indirectly accessed)"
16104,0,16104,65256,6,0,"unaccessed"
16110,0,16110,65262,248,42,"data (indirectly accessed)"
16358,0,16358,65510,10,0,"unaccessed"
16368,0,16368,65520,2,10,"data"
16370,0,16370,65522,8,0,"unaccessed"
16378,0,16378,65530,4,10,"data"
16382,0,16382,65534,2,0,"unaccessed"
